Time|Price|NumberBuyOrder|NumberSellOrder|NumberTrades|MatchTime|AveMatchTime|MaxMatchTime|OclProcTime|AveOclProcTime|MaxOclProcTime|TotalProcTime|AveTotalProcTime|MaxTotalProcTime
0|100.00|0|0|0|0.001|0.001|0.001|0.170|0.170|0.170|0.000|0.000|0.000
1|100.00|0|0|0|0.000|0.000|0.001|0.110|0.055|0.170|0.000|0.000|0.000
2|100.00|0|0|0|0.000|0.000|0.001|0.109|0.036|0.170|0.000|0.000|0.000
3|100.00|0|0|0|0.000|0.000|0.001|0.112|0.028|0.170|0.000|0.000|0.000
4|100.00|0|0|0|0.000|0.000|0.001|0.112|0.022|0.170|0.000|0.000|0.000
5|100.00|0|0|0|0.000|0.000|0.001|0.108|0.018|0.170|0.000|0.000|0.000
6|100.00|0|0|0|0.000|0.000|0.001|0.109|0.016|0.170|0.000|0.000|0.000
7|100.00|0|0|0|0.000|0.000|0.001|0.108|0.014|0.170|0.000|0.000|0.000
8|100.00|0|0|0|0.000|0.000|0.001|0.107|0.012|0.170|0.000|0.000|0.000
9|100.00|0|0|0|0.000|0.000|0.001|0.108|0.011|0.170|0.000|0.000|0.000
10|100.00|0|0|0|0.000|0.000|0.001|0.107|0.010|0.170|0.000|0.000|0.000
11|100.00|0|0|0|0.000|0.000|0.001|0.108|0.009|0.170|0.000|0.000|0.000
12|100.00|0|0|0|0.000|0.000|0.001|0.108|0.008|0.170|0.000|0.000|0.000
13|100.00|0|0|0|0.000|0.000|0.001|0.108|0.008|0.170|0.000|0.000|0.000
14|100.00|0|0|0|0.000|0.000|0.001|0.108|0.007|0.170|0.000|0.000|0.000
15|100.00|0|0|0|0.000|0.000|0.001|0.108|0.007|0.170|0.000|0.000|0.000
16|100.00|0|0|0|0.000|0.000|0.001|0.108|0.006|0.170|0.000|0.000|0.000
17|100.00|0|0|0|0.000|0.000|0.001|0.108|0.006|0.170|0.000|0.000|0.000
18|100.00|0|0|0|0.000|0.000|0.001|0.108|0.006|0.170|0.000|0.000|0.000
19|100.00|0|0|0|0.000|0.000|0.001|0.108|0.005|0.170|0.000|0.000|0.000
20|100.00|0|0|0|0.000|0.000|0.001|0.108|0.005|0.170|0.000|0.000|0.000
21|100.00|0|0|0|0.000|0.000|0.001|0.108|0.005|0.170|0.000|0.000|0.000
22|100.00|0|0|0|0.000|0.000|0.001|0.109|0.005|0.170|0.000|0.000|0.000
23|100.00|0|0|0|0.000|0.000|0.001|0.108|0.005|0.170|0.000|0.000|0.000
24|100.00|0|0|0|0.000|0.000|0.001|0.108|0.004|0.170|0.000|0.000|0.000
25|100.00|0|0|0|0.000|0.000|0.001|0.110|0.004|0.170|0.000|0.000|0.000
26|100.00|0|0|0|0.000|0.000|0.001|0.107|0.004|0.170|0.000|0.000|0.000
27|100.00|0|0|0|0.000|0.000|0.001|0.108|0.004|0.170|0.000|0.000|0.000
28|100.00|0|0|0|0.000|0.000|0.001|0.109|0.004|0.170|0.000|0.000|0.000
29|100.00|0|0|0|0.000|0.000|0.001|0.108|0.004|0.170|0.000|0.000|0.000
30|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
31|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
32|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
33|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
34|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
35|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
36|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
37|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
38|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
39|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
40|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
41|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
42|100.00|0|0|0|0.000|0.000|0.001|0.108|0.003|0.170|0.000|0.000|0.000
43|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
44|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
45|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
46|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
47|100.00|0|0|0|0.000|0.000|0.001|0.109|0.002|0.170|0.000|0.000|0.000
48|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
49|100.00|0|0|0|0.000|0.000|0.001|0.107|0.002|0.170|0.000|0.000|0.000
50|100.00|0|0|0|0.000|0.000|0.001|0.109|0.002|0.170|0.000|0.000|0.000
51|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
52|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
53|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
54|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
55|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
56|100.00|0|0|0|0.000|0.000|0.001|0.110|0.002|0.170|0.000|0.000|0.000
57|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
58|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
59|100.00|0|0|0|0.000|0.000|0.001|0.112|0.002|0.170|0.000|0.000|0.000
60|100.00|0|0|0|0.000|0.000|0.001|0.108|0.002|0.170|0.000|0.000|0.000
